file_name,score
6387.pkl,0.7702849184654303
3382.pkl,0.6315667074067524
5525.pkl,0.5189635907186031
5468.pkl,0.42185829211663894
8606.pkl,0.37757160222648556
2511.pkl,0.7108632487166661
5153.pkl,0.8118683967887478
4974.pkl,0.6432817277915643
9962.pkl,0.35791288748675587
3795.pkl,0.5116762385346013
4374.pkl,0.5337721438309649
8587.pkl,0.7084787183159431
10688.pkl,0.32031455264722547
7956.pkl,1.031394381101027
6112.pkl,0.5253089215389831
10095.pkl,0.6862717820986372
2177.pkl,0.6168931713215744
5183.pkl,0.45371596000853903
10325.pkl,0.5619549823620685
2254.pkl,0.5948733232796493
3095.pkl,0.4615525847134032
4961.pkl,0.5959820212511444
4651.pkl,0.6511032665353944
478.pkl,0.555430464324197
10617.pkl,0.7330714944749497
7021.pkl,0.5980506406487653
4673.pkl,0.7092838630812841
3748.pkl,0.484019036675783
7193.pkl,0.7071382849647523
8704.pkl,0.6118029143716098
862.pkl,0.46595846572919264
4853.pkl,0.7345902115966557
459.pkl,0.413905930886486
7565.pkl,0.9780871542202337
8856.pkl,0.3162774809564637
4795.pkl,0.32199489234939355
738.pkl,0.45196662083379296
5923.pkl,0.5520869964045123
7914.pkl,0.6447103654168747
5400.pkl,0.631543978584832
2699.pkl,0.5493275667994749
8116.pkl,0.6068959613493596
8167.pkl,0.5948627170107089
8944.pkl,1.0426378340162272
11035.pkl,0.6164230311677742
3546.pkl,0.4655569062909701
5099.pkl,0.9616025692074992
6675.pkl,0.8221008083673265
2166.pkl,0.6200308381729751
8213.pkl,0.6258648507521122
7051.pkl,0.6146871109520685
4205.pkl,0.6341456147175002
9508.pkl,0.8627159548012371
9967.pkl,0.6226820993245591
4217.pkl,0.6343210703631016
10565.pkl,0.5633112898977937
5129.pkl,0.797306646037118
6770.pkl,0.4692770889749836
8817.pkl,0.6595930820073822
3626.pkl,1.0401707825697104
2788.pkl,0.3722054147242036
10048.pkl,0.5893486882518144
4073.pkl,0.29847193738534494
8150.pkl,0.7289338281981701
8268.pkl,0.2958129303905152
6009.pkl,0.807488417464971
3904.pkl,1.059390965854739
3379.pkl,0.8939171679172776
8052.pkl,0.6141316847731778
8019.pkl,0.6515883745106402
5345.pkl,0.5327080068404414
9002.pkl,0.6031161819633889
4367.pkl,0.8280852717615631
10608.pkl,0.6503860818444209
9409.pkl,0.6655035977495869
10342.pkl,0.8805843506537735
7573.pkl,0.7024819808170638
2888.pkl,0.3848642499240493
9870.pkl,1.002165082535435
6874.pkl,0.6014426454143359
1705.pkl,0.2847423400162406
10518.pkl,0.6053285864939679
11166.pkl,0.566608466359869
6247.pkl,0.6134924395908797
3169.pkl,0.28161817985314197
4494.pkl,0.611907642426673
10364.pkl,0.3526109428598681
3907.pkl,0.32416213346686995
294.pkl,0.5665201702184459
3042.pkl,0.6921593331249845
80.pkl,0.36498279303182385
1582.pkl,0.6890365373303097
10056.pkl,0.549257562892553
2297.pkl,1.0220582133278875
4291.pkl,0.5112661575619073
5124.pkl,0.28599568223165794
5594.pkl,0.5159308146421404
5296.pkl,0.4108826642782432
10258.pkl,0.6978929455404874
10607.pkl,0.195512189673914
10387.pkl,0.5276656132156379
3230.pkl,0.5110246364095272
